"sport","threshold_percent","qualifying_hedges","trade_count","total_pnl","pnl_per_hedge","return_on_stake","max_drawdown"
"lol_worlds_2025","17","11","44","-2.905848","-0.264168","-0.002642","0.003522"
"lol_worlds_2025","18","11","44","-2.905848","-0.264168","-0.002642","0.003522"
"lol_worlds_2025","19","11","44","-2.905848","-0.264168","-0.002642","0.003522"
"lol_worlds_2025","20","11","44","-2.905848","-0.264168","-0.002642","0.003522"
"lol_worlds_2025","21","10","40","-2.855848","-0.285585","-0.002856","0.003522"
"lol_worlds_2025","22","10","40","-2.855848","-0.285585","-0.002856","0.003522"
"lol_worlds_2025","23","10","40","-2.855848","-0.285585","-0.002856","0.003522"
"lol_worlds_2025","24","10","40","-2.855848","-0.285585","-0.002856","0.003522"
"lol_worlds_2025","25","10","40","-2.855848","-0.285585","-0.002856","0.003522"
"lol_worlds_2025","26","10","40","-2.855848","-0.285585","-0.002856","0.003522"
"lol_worlds_2025","27","10","40","-2.855848","-0.285585","-0.002856","0.003522"
"lol_worlds_2025","28","10","40","-2.855848","-0.285585","-0.002856","0.003522"
"lol_worlds_2025","29","9","36","-2.805848","-0.311761","-0.003118","0.00348"
"lol_worlds_2025","30","9","36","-2.805848","-0.311761","-0.003118","0.00348"
"lol_worlds_2025","31","8","32","-2.755848","-0.344481","-0.003445","0.003438"
"lol_worlds_2025","32","8","32","-2.755848","-0.344481","-0.003445","0.003438"
"lol_worlds_2025","33","8","32","-2.755848","-0.344481","-0.003445","0.003438"
"lol_worlds_2025","34","8","32","-2.755848","-0.344481","-0.003445","0.003438"
"lol_worlds_2025","35","8","32","-2.755848","-0.344481","-0.003445","0.003438"
"lol_worlds_2025","36","8","32","-2.755848","-0.344481","-0.003445","0.003438"
"lol_worlds_2025","37","7","28","-2.705848","-0.386550","-0.003865","0.003397"
"lol_worlds_2025","38","7","28","-2.705848","-0.386550","-0.003865","0.003397"
"lol_worlds_2025","39","7","28","-2.705848","-0.386550","-0.003865","0.003397"
"lol_worlds_2025","40","7","28","-2.705848","-0.386550","-0.003865","0.003397"
"lol_worlds_2025","41","7","28","-2.705848","-0.386550","-0.003865","0.003397"
"lol_worlds_2025","42","7","28","-2.705848","-0.386550","-0.003865","0.003397"
"lol_worlds_2025","43","7","28","-2.705848","-0.386550","-0.003865","0.003397"
"lol_worlds_2025","44","7","28","-2.705848","-0.386550","-0.003865","0.003397"
"lol_worlds_2025","45","7","28","-2.705848","-0.386550","-0.003865","0.003397"
"lol_worlds_2025","46","7","28","-2.705848","-0.386550","-0.003865","0.003397"
"lol_worlds_2025","47","6","24","-4.205848","-0.700975","-0.007010","0.004645"
"lol_worlds_2025","48","6","24","-4.205848","-0.700975","-0.007010","0.004645"
"lol_worlds_2025","49","6","24","-4.205848","-0.700975","-0.007010","0.004645"
"lol_worlds_2025","50","6","24","-4.205848","-0.700975","-0.007010","0.004645"
"lol_worlds_2025","51","6","24","-4.205848","-0.700975","-0.007010","0.004645"
"lol_worlds_2025","52","6","24","-4.205848","-0.700975","-0.007010","0.004645"
"lol_worlds_2025","53","6","24","-4.205848","-0.700975","-0.007010","0.004645"
"lol_worlds_2025","54","6","24","-4.205848","-0.700975","-0.007010","0.004645"
"lol_worlds_2025","55","5","20","-4.155848","-0.831170","-0.008312","0.004604"
"lol_worlds_2025","56","5","20","-4.155848","-0.831170","-0.008312","0.004604"
"lol_worlds_2025","57","5","20","-4.155848","-0.831170","-0.008312","0.004604"
"lol_worlds_2025","58","5","20","-4.155848","-0.831170","-0.008312","0.004604"
"lol_worlds_2025","59","5","20","-4.155848","-0.831170","-0.008312","0.004604"
"lol_worlds_2025","60","5","20","-4.155848","-0.831170","-0.008312","0.004604"
"lol_worlds_2025","61","5","20","-4.155848","-0.831170","-0.008312","0.004604"
"lol_worlds_2025","62","5","20","-4.155848","-0.831170","-0.008312","0.004604"
"lol_worlds_2025","63","5","20","-4.155848","-0.831170","-0.008312","0.004604"
"lol_worlds_2025","64","5","20","-4.155848","-0.831170","-0.008312","0.004604"
"lol_worlds_2025","65","4","16","-1.362098","-0.340525","-0.003405","0.002278"
"lol_worlds_2025","66","4","16","-1.362098","-0.340525","-0.003405","0.002278"
"lol_worlds_2025","67","4","16","-1.362098","-0.340525","-0.003405","0.002278"
"lol_worlds_2025","68","4","16","-1.362098","-0.340525","-0.003405","0.002278"
"lol_worlds_2025","69","4","16","-1.362098","-0.340525","-0.003405","0.002278"
"lol_worlds_2025","70","3","12","-1.335839","-0.445280","-0.004453","0.002256"
"lol_worlds_2025","71","3","12","-1.335839","-0.445280","-0.004453","0.002256"
"lol_worlds_2025","72","2","8","1.325","0.662500","0.006625","4.2E-05"
"lol_worlds_2025","73","2","8","1.325","0.662500","0.006625","4.2E-05"
"lol_worlds_2025","74","2","8","1.325","0.662500","0.006625","4.2E-05"
"lol_worlds_2025","75","2","8","1.325","0.662500","0.006625","4.2E-05"
"lol_worlds_2025","76","2","8","1.325","0.662500","0.006625","4.2E-05"
"lol_worlds_2025","77","2","8","1.325","0.662500","0.006625","4.2E-05"
"lol_worlds_2025","78","2","8","1.325","0.662500","0.006625","4.2E-05"
"lol_worlds_2025","79","2","8","1.325","0.662500","0.006625","4.2E-05"
"lol_worlds_2025","80","2","8","1.325","0.662500","0.006625","4.2E-05"
"lol_worlds_2025","81","1","4","-0.05","-0.050000","-0.000500","4.2E-05"
"lol_worlds_2025","82","1","4","-0.05","-0.050000","-0.000500","4.2E-05"
"lol_worlds_2025","83","1","4","-0.05","-0.050000","-0.000500","4.2E-05"
"lol_worlds_2025","84","1","4","-0.05","-0.050000","-0.000500","4.2E-05"
"lol_worlds_2025","85","1","4","-0.05","-0.050000","-0.000500","4.2E-05"
"lol_worlds_2025","86","1","4","-0.05","-0.050000","-0.000500","4.2E-05"
"lol_worlds_2025","87","0","0","0","","","0"
"lol_worlds_2025","88","0","0","0","","","0"
"lol_worlds_2025","89","0","0","0","","","0"
"lol_worlds_2025","90","0","0","0","","","0"
"lol_worlds_2025","91","0","0","0","","","0"
"lol_worlds_2025","92","0","0","0","","","0"
